season,week,matchup,Receiver_Control,Def_Player_Control,desc,gameday,game_id,play_id,qtr,clock_mm,down,ydstogo,yardline_100,posteam,defteam,player_name,position,interception,complete_pass
2023,11,CHI @ DET,0.50081193405638,0.9999999999942666,"(2:11) (No Huddle, Shotgun) 16-J.Goff pass incomplete deep left to 9-J.Williams.",2023-11-19,2023111902,3906,4,2:11,1,10,60,DET,CHI,Jaylon Johnson,CB,0,0
2023,14,TB @ ATL,0.5109412619501263,0.9999999999148255,(3:38) (Shotgun) 6-B.Mayfield pass incomplete deep left to 14-C.Godwin.,2023-12-10,2023121000,1523,2,3:38,2,6,56,TB,ATL,Jessie Bates,FS,0,0
2023,14,TB @ ATL,0.5109412619501263,0.999999999428236,(3:38) (Shotgun) 6-B.Mayfield pass incomplete deep left to 14-C.Godwin.,2023-12-10,2023121000,1523,2,3:38,2,6,56,TB,ATL,Dee Alford,CB,0,0
2023,14,TB @ ATL,0.5109412619501263,0.9999999990688321,(3:38) (Shotgun) 6-B.Mayfield pass incomplete deep left to 14-C.Godwin.,2023-12-10,2023121000,1523,2,3:38,2,6,56,TB,ATL,DeMarcco Hellams,SAF,0,0
2023,14,TB @ ATL,0.5109412619501263,0.9999999982609301,(3:38) (Shotgun) 6-B.Mayfield pass incomplete deep left to 14-C.Godwin.,2023-12-10,2023121000,1523,2,3:38,2,6,56,TB,ATL,Clark Phillips III,CB,0,0
2023,1,GB @ CHI,0.5171761080529675,0.9999605002887592,(1:07) (Shotgun) 10-J.Love pass incomplete deep left to 88-L.Musgrave.,2023-09-10,2023091008,1952,2,1:07,2,10,56,GB,CHI,T.J. Edwards,LB,0,0
2023,1,GB @ CHI,0.5171761080529675,0.9999332050472666,(1:07) (Shotgun) 10-J.Love pass incomplete deep left to 88-L.Musgrave.,2023-09-10,2023091008,1952,2,1:07,2,10,56,GB,CHI,Jaquan Brisker,SAF,0,0
2023,1,GB @ CHI,0.5171761080529675,0.9990257042854102,(1:07) (Shotgun) 10-J.Love pass incomplete deep left to 88-L.Musgrave.,2023-09-10,2023091008,1952,2,1:07,2,10,56,GB,CHI,Tyrique Stevenson,CB,0,0
2023,15,CHI @ CLE,0.6070905850617172,0.9989098485144274,"(11:04) (Shotgun) 1-J.Fields pass short left to 85-C.Kmet for 5 yards, TOUCHDOWN.",2023-12-17,2023121710,1453,2,11:04,3,5,5,CHI,CLE,Duron Harmon,S,0,1
2023,18,MIN @ DET,0.5886557987730856,0.9986881034468289,(1:05) (Shotgun) 12-N.Mullens pass short left to 18-J.Jefferson pushed ob at DET 38 for 9 yards (1-C.Sutton).,2024-01-07,2024010703,2998,3,1:05,3,10,47,MIN,DET,Cameron Sutton,CB,0,1
